,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
4866,Aston Villa,Leicester,H,5,2,10,3,0.9199318568994889,0.9876543209876542,0.5432098765432098,0.9540034071550255,1
4867,Aston Villa,West Ham,D,4,5,5,3,0.9199318568994889,0.9876543209876542,1.037037037037037,1.0221465076660987,0
4868,Derby,Chelsea,A,2,7,1,9,0.7836456558773424,1.1851851851851851,1.1851851851851851,0.8517887563884157,-1
4869,Leeds,Southampton,H,7,2,10,1,1.2265758091993184,1.037037037037037,0.6419753086419753,0.8858603066439523,1
4870,Leicester,Coventry,A,4,5,4,9,0.9540034071550255,1.1358024691358024,1.0864197530864197,1.362862010221465,-1
4871,Everton,Man City,H,7,5,8,8,0.9880749574105622,1.3333333333333333,1.037037037037037,1.1584327086882453,1
4872,Middlesbrough,Sunderland,D,6,4,3,2,0.6132879045996592,1.1358024691358024,1.0864197530864197,0.8517887563884157,0
4873,Ipswich,Liverpool,D,5,2,6,1,1.0562180579216354,0.7407407407407407,1.5308641975308641,0.8517887563884157,0
4874,Man United,Charlton,H,8,2,12,4,1.6695059625212947,0.5925925925925926,0.9382716049382716,1.2947189097103917,1
4875,Tottenham,Bradford,H,13,5,5,7,1.0562180579216354,0.7901234567901233,0.4938271604938271,1.3969335604770017,1
4876,Man City,Arsenal,A,2,8,7,3,0.6814310051107325,1.5308641975308641,0.8888888888888887,0.8517887563884157,-1
4877,Bradford,Charlton,H,8,8,3,7,0.6814310051107325,1.4320987654320987,0.9382716049382716,1.2947189097103917,1
4878,Liverpool,Leeds,A,5,3,8,2,1.362862010221465,0.6913580246913579,1.3827160493827158,0.7495741056218058,-1
4879,Arsenal,Middlesbrough,A,8,2,9,0,1.533219761499148,0.6419753086419753,1.2839506172839505,0.7155025553662692,-1
4880,Aston Villa,Everton,H,5,3,5,3,0.9199318568994889,0.9876543209876542,0.7901234567901233,1.090289608177172,1
4881,Chelsea,Southampton,H,8,5,7,6,1.4991482112436116,0.9876543209876542,0.6419753086419753,0.8858603066439523,1
4882,Ipswich,Newcastle,H,5,2,9,3,1.0562180579216354,0.7407407407407407,0.8888888888888887,1.1243611584327087,1
4883,Leicester,Man City,A,9,3,5,1,0.9540034071550255,1.1358024691358024,1.037037037037037,1.1584327086882453,-1
4884,Man United,Coventry,H,13,4,9,2,1.6695059625212947,0.5925925925925926,1.0864197530864197,1.362862010221465,1
4885,Sunderland,Tottenham,A,4,6,3,3,0.817717206132879,0.7901234567901233,0.7901234567901233,1.2947189097103917,-1
4886,West Ham,Derby,H,10,3,3,5,0.817717206132879,0.9876543209876542,0.6913580246913579,1.192504258943782,1
4887,Coventry,Sunderland,H,9,3,6,3,0.47700170357751276,1.1358024691358024,1.0864197530864197,0.8517887563884157,1
4888,Derby,Leicester,H,6,4,5,6,0.7836456558773424,1.1851851851851851,0.5432098765432098,0.9540034071550255,1
4889,Everton,Liverpool,A,7,6,2,5,0.9880749574105622,1.3333333333333333,1.5308641975308641,0.8517887563884157,-1
4890,Middlesbrough,Ipswich,A,1,5,5,4,0.6132879045996592,1.1358024691358024,1.2839506172839505,0.9199318568994889,-1
4891,Newcastle,West Ham,H,14,6,7,5,0.8858603066439523,0.8395061728395061,1.037037037037037,1.0221465076660987,1
4892,Charlton,Aston Villa,D,5,8,5,7,1.0562180579216354,0.9382716049382716,0.9382716049382716,0.7836456558773424,0
4893,Tottenham,Chelsea,A,1,10,2,5,1.0562180579216354,0.7901234567901233,1.1851851851851851,0.8517887563884157,-1
4894,Arsenal,Everton,H,8,2,10,0,1.533219761499148,0.6419753086419753,0.7901234567901233,1.090289608177172,1
4895,Aston Villa,Southampton,D,2,3,4,5,0.9199318568994889,0.9876543209876542,0.6419753086419753,0.8858603066439523,0
4896,Bradford,Derby,H,9,3,3,8,0.6814310051107325,1.4320987654320987,0.6913580246913579,1.192504258943782,1
